"filename", "language", "C#", "JSON", "Markdown", "Properties", "YAML", "UnityShader", "comment", "blank", "total"
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/AWS/LambdaAPI.cs", "C#", 535, 0, 0, 0, 0, 0, 68, 70, 673
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/AWS/LambdaServerConnect.cs", "C#", 352, 0, 0, 0, 0, 0, 65, 56, 473
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/AppConfig.cs", "C#", 198, 0, 0, 0, 0, 0, 35, 28, 261
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/CameraController.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Common/GameEvent.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Common/LookAtCamera.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Constant.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/BaseCounter.cs", "C#", 184, 0, 0, 0, 0, 0, 17, 40, 241
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/ContainerCounter.cs", "C#", 22, 0, 0, 0, 0, 0, 2, 6, 30
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/CuttingCounter.cs", "C#", 94, 0, 0, 0, 0, 0, 7, 14, 115
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/DeliveryCounter.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 8, 69
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/DeliveryCounterVisual.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/PlatesCounter.cs", "C#", 51, 0, 0, 0, 0, 0, 3, 8, 62
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/ProgressBarUI.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 10, 51
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/StoveCounter.cs", "C#", 135, 0, 0, 0, 0, 0, 0, 15, 150
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/StoveCounterSound.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterLogic/TrashCounter.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterVisual/ContainerCounterVisual.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterVisual/CuttingCounterVisual.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 8, 33
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterVisual/JuicyInteract.cs", "C#", 20, 0, 0, 0, 0, 0, 2, 2, 24
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterVisual/PlatesCounterVisual.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterVisual/SelectedCounterVisual.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 6, 67
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Couter/CounterVisual/StoveCounterVisual.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Customer/Customer.cs", "C#", 160, 0, 0, 0, 0, 0, 2, 28, 190
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Customer/CustomerAnimator.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 5, 72
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Customer/CustomerGroup.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Customer/CustomerOld.cs", "C#", 113, 0, 0, 0, 0, 0, 1, 13, 127
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Customer/CustomerSpawner.cs", "C#", 104, 0, 0, 0, 0, 0, 6, 20, 130
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/DontDestroyOnLoad.cs", "C#", 26, 0, 0, 0, 0, 0, 6, 5, 37
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/DragMoment/DragMovement.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/DragMoment/MobileController.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 9, 73
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Editor/Game.Editor.asmdef", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 16
"/Users/kietle/Desktop/kitchen_chaos_study_game/kitchen_chaos/Assets/_Assets/Scripts/Editor/MenuNavigation.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 9, 56
